STATE_NAME,STATE_ABBR,Trump_Approval,Trump_Disapproval,Repub_Lean,Demo_Lean,Dem_Adv,Conservative,Moderate,Liberal,Conser_Adv,Total_Pop
Alabama,AL,53,42,50,35,-15,43,34,16,27,"4,874,747"
Alaska,AK,50,44,52,31,-21,36,42,17,19,"739,795"
Arizona,AZ,41,53,42,40,-2,33,37,23,10,"7,016,270"
Arkansas,AR,50,44,45,36,-9,42,35,17,25,"3,004,279"
California,CA,29,65,30,51,21,27,37,30,-3,"39,536,653"
Colorado,CO,37,59,37,46,9,30,37,28,2,"5,607,154"
Connecticut,CT,31,63,32,51,19,28,37,30,-2,"3,588,184"
Delaware,DE,36,58,33,45,12,28,38,28,0,"961,939"
Florida,FL,41,53,39,42,3,35,36,22,13,"20,984,400"
Georgia,GA,41,53,40,42,2,36,36,21,15,"10,429,379"
Hawaii,HI,29,60,28,50,22,25,40,25,0,"1,427,538"
Idaho,ID,53,42,53,31,-22,42,31,22,20,"1,716,943"
Illinois,IL,33,62,33,50,17,30,37,27,3,"12,802,023"
Indiana,IN,44,51,43,41,-2,36,37,22,14,"6,666,818"
Iowa,IA,43,52,42,42,0,37,35,24,13,"3,145,711"
Kansas,KS,48,47,48,34,-14,38,38,18,20,"2,913,123"
Kentucky,KY,51,45,45,41,-4,39,35,20,19,"4,454,189"
Louisiana,LA,49,45,43,40,-3,40,35,17,23,"4,684,333"
Maine,ME,42,55,39,47,8,34,31,30,4,"1,335,907"
Maryland,MD,30,65,28,56,28,28,37,29,-1,"6,052,177"
Massachusetts,MA,27,68,26,57,31,22,37,35,-13,"6,859,819"
Michigan,MI,40,55,38,45,7,34,36,23,11,"9,962,311"
Minnesota,MN,37,58,37,47,10,32,36,27,5,"5,576,606"
Mississippi,MS,48,46,45,38,-7,43,35,14,29,"2,984,100"
Missouri,MO,47,48,45,38,-7,38,35,21,17,"6,113,532"
Montana,MT,52,45,51,37,-14,42,34,21,21,"1,050,493"
Nebraska,NE,49,47,50,35,-15,41,33,21,20,"1,920,076"
Nevada,NV,42,53,39,42,3,33,39,22,10,"2,998,039"
New Hampshire,NH,42,56,40,43,3,31,39,25,6,"1,342,795"
New Jersey,NJ,34,61,33,48,15,28,38,27,1,"9,005,644"
New Mexico,NM,35,59,34,48,14,32,37,25,7,"2,088,070"
New York,NY,30,63,29,52,23,27,35,31,-4,"19,849,399"
North Carolina,NC,40,54,39,44,5,36,36,21,15,"10,273,419"
North Dakota,ND,57,39,56,28,-28,39,42,15,24,"755,393"
Ohio,OH,45,50,42,41,-1,35,38,21,14,"11,658,609"
Oklahoma,OK,53,40,49,35,-14,42,35,17,25,"3,930,864"
Oregon,OR,36,59,36,49,13,28,36,31,-3,"4,142,776"
Pennsylvania,PA,42,53,41,46,5,34,37,24,10,"12,805,537"
Rhode Island,RI,32,62,27,48,19,24,40,29,-5,"1,059,639"
South Carolina,SC,48,46,47,37,-10,41,35,17,24,"5,024,369"
South Dakota,SD,54,42,52,35,-17,41,40,15,26,"869,666"
Tennessee,TN,50,44,47,35,-12,40,36,18,22,"6,715,984"
Texas,TX,39,54,41,38,-3,38,35,20,18,"28,304,596"
Utah,UT,48,47,56,29,-27,42,36,18,24,"3,101,833"
Vermont,VT,26,69,30,52,22,25,32,39,-14,"623,657"
Virginia,VA,37,57,38,45,7,33,38,23,10,"8,470,020"
Washington,WA,34,60,34,49,15,29,36,30,-1,"7,405,743"
West Virginia,WV,61,35,44,40,-4,38,38,19,19,"1,815,857"
Wisconsin,WI,41,55,41,43,2,35,37,23,12,"5,795,483"
Wyoming,WY,57,36,56,27,-29,46,35,13,33,"579,315"
